db_collection_name,sensitive_field
youngs,password
youngs,passwordChangedAt
youngs,loginAttempts
youngs,nextLoginAttemptIn
youngs,token2FA
youngs,token2FAExpires
youngs,attempts2FA
youngs,tokenEmailValidation
youngs,tokenEmailValidationExpires
youngs,attemptsEmailValidation
youngs,forgotPasswordResetToken
youngs,forgotPasswordResetExpires
youngs,invitationToken
youngs,invitationExpires
youngs,phase3Token
youngs,parent1Inscription2023Token
youngs,parent2Inscription2023Token
referents,password
referents,passwordChangedAt
referents,loginAttempts
referents,nextLoginAttemptIn
referents,token2FA
referents,token2FAExpires
referents,attempts2FA
referents,forgotPasswordResetToken
referents,forgotPasswordResetExpires
referents,invitationToken
referents,invitationExpires
